entry_time,exit_time,direction,entry,sl,tp,exit,outcome,pnl_r
2022-02-04 14:00:00+00:00,2022-02-04 15:00:00+00:00,short,37859.36,38386.2481068565,36542.13973285875,38386.2481068565,sl,-1.0
2023-10-13 20:00:00+00:00,2023-10-13 20:00:00+00:00,short,26825.6,26979.294562916122,26441.36359270969,26979.294562916122,sl,-1.0
