experiment_name,asset,period,period_role,bias,trigger,entry,session,management,n_entries,n_trades,pf,wr,exp_r,total_r,max_dd,freq,gate_pass,contract_hash,dataset_version,pipeline_version,engine_version
integration_vertical_c1_c8_v3a_t1,BTCUSDT,2022,train,A_ema200_neutral,T1_ema_cross,C_market_close,dcv1_activo_15h,V3-A,119,115,0.681,27.0,-0.177,-20.31,-12.27,9.6,False,f966b3bf5c6a9208,market-data-v1,dc-v1,research-engine-1
integration_vertical_c1_c8_v3a_t1,BTCUSDT,2023,validate,A_ema200_neutral,T1_ema_cross,C_market_close,dcv1_activo_15h,V3-A,110,108,1.021,29.6,0.012,1.28,-6.88,9.2,False,329916cb3db22cb2,market-data-v1,dc-v1,research-engine-1
integration_vertical_c1_c8_v3a_t1,ETHUSDT,2022,train,A_ema200_neutral,T1_ema_cross,C_market_close,dcv1_activo_15h,V3-A,113,107,1.033,34.6,0.016,1.75,-6.74,9.0,False,2adba9259d921581,market-data-v1,dc-v1,research-engine-1
integration_vertical_c1_c8_v3a_t1,ETHUSDT,2023,validate,A_ema200_neutral,T1_ema_cross,C_market_close,dcv1_activo_15h,V3-A,118,113,0.782,26.5,-0.119,-13.44,-12.44,9.4,False,f7a909147391cae5,market-data-v1,dc-v1,research-engine-1
integration_vertical_c1_c8_v3a_t1,SOLUSDT,2022,train,A_ema200_neutral,T1_ema_cross,C_market_close,dcv1_activo_15h,V3-A,107,103,1.003,31.1,0.001,0.15,-5.44,8.6,False,3f922ac5ffb55606,market-data-v1,dc-v1,research-engine-1
integration_vertical_c1_c8_v3a_t1,SOLUSDT,2023,validate,A_ema200_neutral,T1_ema_cross,C_market_close,dcv1_activo_15h,V3-A,100,98,1.272,31.6,0.132,12.96,-5.22,8.2,False,a58dc30896588ddf,market-data-v1,dc-v1,research-engine-1
