entry_idx,direction,pnl_r_v3a,is_winner,mfe_r,mae_r,asset,year
807,long,-0.1211,False,0.5135,0.8042,ETHUSDT,2023
880,long,-1.0741,False,0.5363,2.1433,ETHUSDT,2023
898,long,-1.0935,False,3.6049,1.1586,ETHUSDT,2023
1208,long,-0.0858,False,1.5963,0.3971,ETHUSDT,2023
1304,long,-1.0813,False,0.1043,4.4434,ETHUSDT,2023
1406,long,-1.0967,False,2.3464,2.6995,ETHUSDT,2023
1570,short,2.8582,True,4.0029,0.9681,ETHUSDT,2023
1791,long,-0.0551,False,3.7872,0.4023,ETHUSDT,2023
1863,long,-0.0614,False,1.8707,2.2291,ETHUSDT,2023
1958,long,-0.3104,False,0.9307,0.4656,ETHUSDT,2023
2193,long,-1.1458,False,0.0222,5.3165,ETHUSDT,2023
2218,long,-0.0979,False,2.2073,2.182,ETHUSDT,2023
2439,long,2.8856,True,3.4696,0.752,ETHUSDT,2023
3271,short,-0.1149,False,1.8209,1.9814,ETHUSDT,2023
3303,short,1.5457,True,2.6619,1.0181,ETHUSDT,2023
3368,short,-0.2017,False,2.932,0.3582,ETHUSDT,2023
3703,long,-0.1826,False,1.6649,3.6162,ETHUSDT,2023
3926,short,-0.4728,False,0.9268,0.6082,ETHUSDT,2023
3951,short,0.8899,True,10.6068,0.6524,ETHUSDT,2023
4093,short,-1.1111,False,0.654,7.5431,ETHUSDT,2023
4167,long,-1.0486,False,0.6183,1.1699,ETHUSDT,2023
4257,long,-0.0957,False,2.1575,1.3578,ETHUSDT,2023
4306,long,-1.1069,False,2.6069,1.7472,ETHUSDT,2023
4382,long,-1.1511,False,4.6054,3.6328,ETHUSDT,2023
4471,long,1.25,True,2.3718,7.0704,ETHUSDT,2023
4718,long,-1.1583,False,0.1515,4.6442,ETHUSDT,2023
4951,short,-1.1768,False,0.5823,3.7548,ETHUSDT,2023
5217,short,-1.2847,False,0.9575,2.8206,ETHUSDT,2023
5245,short,2.3112,True,3.5219,1.4477,ETHUSDT,2023
5576,short,-0.1393,False,2.2684,1.0935,ETHUSDT,2023
5654,short,-1.0743,False,0.6737,1.0191,ETHUSDT,2023
5697,short,-0.4408,False,0.5663,0.6795,ETHUSDT,2023
5719,short,-1.2561,False,0.2522,2.0311,ETHUSDT,2023
5768,short,-1.1612,False,0.5924,11.1844,ETHUSDT,2023
5823,short,1.7475,True,3.6308,0.014,ETHUSDT,2023
5888,short,-1.2103,False,1.0687,2.4139,ETHUSDT,2023
5959,short,-0.1749,False,2.5854,6.1552,ETHUSDT,2023
6010,short,-0.8571,False,0.1828,0.9955,ETHUSDT,2023
