asset,year,role,session,atr_mult,candidate,hypothesis,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout,source
BTCUSDT,2023,control,control_8h,1.5,1.5 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",62,61,5.39,0.984,False,0.713,24.6,-0.169,1.702,-0.779,-10.29,-5.18,5.3,0,53,8,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
BTCUSDT,2023,control,control_8h,2.0,2.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",62,61,5.39,0.984,False,0.685,24.6,-0.156,1.385,-0.659,-9.53,-4.73,5.3,0,46,15,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
BTCUSDT,2023,control,control_8h,3.0,3.0 | control_8h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",62,60,5.37,0.968,False,0.631,28.3,-0.14,0.845,-0.529,-8.39,-5.59,5.2,0,28,32,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
ETHUSDT,2023,control,control_8h,1.0,1.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",69,69,5.8,1.0,False,0.617,24.6,-0.227,1.485,-0.787,-15.67,-12.23,5.8,0,66,3,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
ETHUSDT,2023,control,control_8h,1.5,1.5 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",69,67,5.77,0.971,False,0.952,29.9,-0.025,1.636,-0.731,-1.65,-7.21,5.6,0,56,11,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
ETHUSDT,2023,control,control_8h,2.0,2.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",69,67,5.77,0.971,False,1.053,29.9,0.025,1.658,-0.67,1.65,-7.29,5.6,0,50,17,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
ETHUSDT,2023,control,control_8h,3.0,3.0 | control_8h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",69,66,5.75,0.957,False,0.756,30.3,-0.105,1.069,-0.615,-6.92,-6.62,5.5,0,35,31,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
SOLUSDT,2023,control,control_8h,1.0,1.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",56,56,4.7,1.0,False,1.457,26.8,0.245,2.92,-0.733,13.73,-4.65,4.7,0,55,1,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
SOLUSDT,2023,control,control_8h,1.5,1.5 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",56,56,4.7,1.0,False,1.138,28.6,0.072,2.088,-0.734,4.04,-6.3,4.7,0,46,10,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
SOLUSDT,2023,control,control_8h,2.0,2.0 | control_8h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",56,55,4.79,0.982,False,1.283,32.7,0.116,1.614,-0.612,6.4,-3.12,4.7,0,38,17,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
SOLUSDT,2023,control,control_8h,3.0,3.0 | control_8h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",56,54,4.77,0.964,False,1.567,37.0,0.187,1.396,-0.524,10.1,-2.67,4.6,0,20,34,"gestion_campaign_atr_mult_results.csv (H1, no recomputado)"
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,1.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",119,118,9.98,0.992,False,0.722,25.4,-0.166,1.693,-0.8,-19.6,-11.91,9.9,0,111,7,computado hoy (dcv1_activo_15h)
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5,1.5 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",119,115,9.93,0.966,False,0.681,27.0,-0.177,1.397,-0.757,-20.31,-12.27,9.6,0,99,16,computado hoy (dcv1_activo_15h)
BTCUSDT,2022,candidate,dcv1_activo_15h,2.0,2.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",119,110,9.95,0.924,False,0.775,30.9,-0.105,1.172,-0.676,-11.54,-8.37,9.2,0,78,32,computado hoy (dcv1_activo_15h)
BTCUSDT,2022,candidate,dcv1_activo_15h,3.0,3.0 | dcv1_activo_15h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",119,108,10.03,0.908,False,1.031,44.4,0.011,0.848,-0.658,1.21,-3.12,9.1,0,49,59,computado hoy (dcv1_activo_15h)
ETHUSDT,2022,candidate,dcv1_activo_15h,1.0,1.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",113,107,9.5,0.947,False,1.2,31.8,0.104,1.965,-0.763,11.13,-6.85,9.0,0,97,10,computado hoy (dcv1_activo_15h)
ETHUSDT,2022,candidate,dcv1_activo_15h,1.5,1.5 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",113,107,9.5,0.947,False,1.033,34.6,0.016,1.488,-0.762,1.75,-6.74,9.0,0,83,24,computado hoy (dcv1_activo_15h)
ETHUSDT,2022,candidate,dcv1_activo_15h,2.0,2.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",113,103,9.54,0.912,False,1.141,40.8,0.061,1.203,-0.726,6.25,-3.6,8.7,0,64,39,computado hoy (dcv1_activo_15h)
ETHUSDT,2022,candidate,dcv1_activo_15h,3.0,3.0 | dcv1_activo_15h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",113,100,9.49,0.885,False,1.263,50.0,0.079,0.758,-0.6,7.88,-2.46,8.4,0,34,66,computado hoy (dcv1_activo_15h)
SOLUSDT,2022,candidate,dcv1_activo_15h,1.0,1.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",107,105,8.97,0.981,False,1.04,26.7,0.019,1.833,-0.641,1.99,-5.53,8.8,0,97,8,computado hoy (dcv1_activo_15h)
SOLUSDT,2022,candidate,dcv1_activo_15h,1.5,1.5 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",107,103,8.93,0.963,False,1.003,31.1,0.001,1.539,-0.691,0.15,-5.44,8.6,0,87,16,computado hoy (dcv1_activo_15h)
SOLUSDT,2022,candidate,dcv1_activo_15h,2.0,2.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",107,101,8.9,0.944,False,0.954,34.7,-0.02,1.203,-0.669,-2.02,-4.75,8.4,0,64,37,computado hoy (dcv1_activo_15h)
SOLUSDT,2022,candidate,dcv1_activo_15h,3.0,3.0 | dcv1_activo_15h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",107,100,8.99,0.935,False,1.151,43.0,0.046,0.813,-0.533,4.59,-4.07,8.4,0,31,69,computado hoy (dcv1_activo_15h)
