asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,B_ema50_ema200_cross,"Bias B — EMA50+EMA200 4H, cruce (Trigger=T1_ema_cross/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: Bias A bajo el mismo contrato, ver diseño formal de Bias B)",0.683,1.077,False,False,False,
ETHUSDT,B_ema50_ema200_cross,"Bias B — EMA50+EMA200 4H, cruce (Trigger=T1_ema_cross/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: Bias A bajo el mismo contrato, ver diseño formal de Bias B)",0.983,0.674,False,False,False,
SOLUSDT,B_ema50_ema200_cross,"Bias B — EMA50+EMA200 4H, cruce (Trigger=T1_ema_cross/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: Bias A bajo el mismo contrato, ver diseño formal de Bias B)",1.025,1.287,False,False,False,
