asset,year,bias,trigger,entry,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,B,T1_ema_cross,C_market_close,B_ema50_ema200_cross,"Bias B — EMA50+EMA200 4H, cruce (Trigger=T1_ema_cross/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: Bias A bajo el mismo contrato, ver diseño formal de Bias B)",129,125,10.84,0.969,False,0.683,27.2,-0.179,1.417,-0.775,-22.36,-13.46,10.5,0,109,16
ETHUSDT,2022,B,T1_ema_cross,C_market_close,B_ema50_ema200_cross,"Bias B — EMA50+EMA200 4H, cruce (Trigger=T1_ema_cross/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: Bias A bajo el mismo contrato, ver diseño formal de Bias B)",125,119,10.5,0.952,False,0.983,34.5,-0.009,1.433,-0.767,-1.04,-6.52,10.0,0,93,26
SOLUSDT,2022,B,T1_ema_cross,C_market_close,B_ema50_ema200_cross,"Bias B — EMA50+EMA200 4H, cruce (Trigger=T1_ema_cross/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: Bias A bajo el mismo contrato, ver diseño formal de Bias B)",122,118,10.24,0.967,False,1.025,31.4,0.012,1.495,-0.666,1.36,-6.34,9.9,0,99,19
BTCUSDT,2023,B,T1_ema_cross,C_market_close,B_ema50_ema200_cross,"Bias B — EMA50+EMA200 4H, cruce (Trigger=T1_ema_cross/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: Bias A bajo el mismo contrato, ver diseño formal de Bias B)",138,135,11.45,0.978,False,1.077,28.9,0.041,1.99,-0.751,5.54,-9.22,11.2,0,114,21
ETHUSDT,2023,B,T1_ema_cross,C_market_close,B_ema50_ema200_cross,"Bias B — EMA50+EMA200 4H, cruce (Trigger=T1_ema_cross/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: Bias A bajo el mismo contrato, ver diseño formal de Bias B)",149,144,12.42,0.966,False,0.674,24.3,-0.19,1.615,-0.77,-27.4,-18.36,12.0,0,122,22
SOLUSDT,2023,B,T1_ema_cross,C_market_close,B_ema50_ema200_cross,"Bias B — EMA50+EMA200 4H, cruce (Trigger=T1_ema_cross/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: Bias A bajo el mismo contrato, ver diseño formal de Bias B)",113,111,9.47,0.982,False,1.287,33.3,0.139,1.877,-0.73,15.48,-5.27,9.3,0,90,21
