symbol,entry_time,direction,entry,sl,tp,outcome,pnl_r,mfe_r,mae_r,duration_h,periodo
SOLUSDT,2022-04-21 10:00:00+00:00,long,108.05,105.7539,113.7903,sl,-1.0,0.832,1.128,7,2022
SOLUSDT,2022-04-26 14:00:00+00:00,short,97.29,99.0326,92.9335,sl,-1.0,1.601,1.262,17,2022
SOLUSDT,2022-04-28 14:00:00+00:00,short,97.57,99.4004,92.9941,sl,-1.0,0.574,1.016,1,2022
SOLUSDT,2022-05-05 14:00:00+00:00,short,87.84,90.12,82.14,tp,2.5,2.978,0.07,4,2022
SOLUSDT,2022-05-14 10:00:00+00:00,short,48.76,51.9644,40.7489,sl,-1.0,0.939,1.105,11,2022
SOLUSDT,2022-05-31 13:00:00+00:00,short,45.2,46.63,41.625,sl,-1.0,0.476,1.0,2,2022
SOLUSDT,2022-06-03 07:00:00+00:00,short,40.31,41.361,37.6824,tp,2.5,2.626,0.124,5,2022
SOLUSDT,2022-06-16 13:00:00+00:00,short,30.52,32.4417,25.7158,sl,-1.0,0.26,1.004,3,2022
SOLUSDT,2022-06-25 15:00:00+00:00,short,39.85,41.1891,36.5021,sl,-1.0,0.09,1.755,6,2022
SOLUSDT,2022-07-01 10:00:00+00:00,short,31.97,33.302,28.6399,sl,-1.0,0.135,1.119,8,2022
