asset,year,role,session,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
ETHUSDT,2022,candidate,control_8h,1.25 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",49,48,4.08,0.98,False,0.957,43.8,-0.02,1.033,-0.839,-0.97,-1.68,4.0,0,40,8
ETHUSDT,2022,candidate,control_8h,1.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",49,48,4.08,0.98,False,0.931,37.5,-0.033,1.182,-0.762,-1.58,-1.68,4.0,0,39,9
ETHUSDT,2022,candidate,control_8h,2.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",49,48,4.08,0.98,False,0.971,33.3,-0.014,1.397,-0.719,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,candidate,control_8h,2.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",49,48,4.08,0.98,False,0.913,31.2,-0.042,1.407,-0.7,-2.0,-2.26,4.0,0,37,11
ETHUSDT,2022,candidate,control_8h,3.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",49,48,4.08,0.98,False,0.901,29.2,-0.048,1.491,-0.681,-2.3,-2.55,4.0,0,35,13
ETHUSDT,2022,candidate,dcv1_activo_15h,1.25 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",113,107,9.5,0.947,False,1.059,45.8,0.029,1.135,-0.905,3.11,-5.89,9.0,0,89,18
ETHUSDT,2022,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",113,107,9.5,0.947,False,1.04,42.1,0.02,1.22,-0.851,2.13,-5.78,9.0,0,87,20
ETHUSDT,2022,candidate,dcv1_activo_15h,2.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",113,107,9.5,0.947,False,1.033,34.6,0.016,1.488,-0.762,1.75,-6.74,9.0,0,83,24
ETHUSDT,2022,candidate,dcv1_activo_15h,2.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",113,107,9.5,0.947,False,0.974,32.7,-0.013,1.487,-0.742,-1.38,-6.76,9.0,0,80,27
ETHUSDT,2022,candidate,dcv1_activo_15h,3.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",113,107,9.5,0.947,False,0.938,30.8,-0.031,1.523,-0.724,-3.3,-7.33,9.0,0,78,29
SOLUSDT,2022,candidate,control_8h,1.25 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",63,61,5.37,0.968,False,1.23,47.5,0.106,1.199,-0.884,6.49,-3.5,5.2,0,58,3
SOLUSDT,2022,candidate,control_8h,1.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",63,61,5.37,0.968,False,1.15,36.1,0.07,1.492,-0.732,4.28,-4.43,5.2,0,58,3
SOLUSDT,2022,candidate,control_8h,2.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",63,61,5.37,0.968,False,1.152,32.8,0.071,1.649,-0.698,4.35,-4.6,5.2,0,56,5
