asset,year,bias,trigger,entry,mechanism,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_tp,reason_timeout,pf_v3a,max_dd_v3a,exp_r_v3a,freq_v3a,n_trades_v3a,delta_pf,delta_max_dd,delta_exp_r,delta_freq,delta_n_trades
BTCUSDT,2022,A,T1_ema_cross,C_market_close,TP_fijo_2.5R,TP_fijo_2.5R,"Espacio 6 — TP fijo 2.5R (Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato, ver diseño formal de Espacio 6 — Experimento 1. TP_R=2.5 es la especificación histórica de FRAMEWORK.md, NO la Gestión vigente del motor)",119,115,9.93,0.966,False,0.878,38.3,-0.075,1.409,-0.994,-8.59,-8.33,9.6,0,62,22,31,0.681,-12.27,-0.177,9.6,115,0.197,3.94,0.102,0.0,0
ETHUSDT,2022,A,T1_ema_cross,C_market_close,TP_fijo_2.5R,TP_fijo_2.5R,"Espacio 6 — TP fijo 2.5R (Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato, ver diseño formal de Espacio 6 — Experimento 1. TP_R=2.5 es la especificación histórica de FRAMEWORK.md, NO la Gestión vigente del motor)",113,107,9.5,0.947,False,1.108,43.9,0.06,1.394,-0.986,6.4,-3.55,9.0,0,54,18,35,1.033,-6.74,0.016,9.0,107,0.075,3.19,0.044,0.0,0
SOLUSDT,2022,A,T1_ema_cross,C_market_close,TP_fijo_2.5R,TP_fijo_2.5R,"Espacio 6 — TP fijo 2.5R (Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato, ver diseño formal de Espacio 6 — Experimento 1. TP_R=2.5 es la especificación histórica de FRAMEWORK.md, NO la Gestión vigente del motor)",107,103,8.93,0.963,False,1.174,38.8,0.094,1.637,-0.885,9.69,-4.31,8.6,0,51,21,31,1.003,-5.44,0.001,8.6,103,0.171,1.13,0.093,0.0,0
BTCUSDT,2023,A,T1_ema_cross,C_market_close,TP_fijo_2.5R,TP_fijo_2.5R,"Espacio 6 — TP fijo 2.5R (Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato, ver diseño formal de Espacio 6 — Experimento 1. TP_R=2.5 es la especificación histórica de FRAMEWORK.md, NO la Gestión vigente del motor)",110,108,9.37,0.982,False,1.241,38.0,0.144,1.961,-0.967,15.6,-4.6,9.2,0,52,31,25,1.021,-6.88,0.012,9.2,108,0.22,2.28,0.132,0.0,0
ETHUSDT,2023,A,T1_ema_cross,C_market_close,TP_fijo_2.5R,TP_fijo_2.5R,"Espacio 6 — TP fijo 2.5R (Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato, ver diseño formal de Espacio 6 — Experimento 1. TP_R=2.5 es la especificación histórica de FRAMEWORK.md, NO la Gestión vigente del motor)",118,112,9.9,0.949,False,0.86,31.2,-0.093,1.827,-0.966,-10.43,-11.24,9.4,0,61,22,29,0.782,-12.44,-0.119,9.4,113,0.078,1.2,0.026,0.0,-1
SOLUSDT,2023,A,T1_ema_cross,C_market_close,TP_fijo_2.5R,TP_fijo_2.5R,"Espacio 6 — TP fijo 2.5R (Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato, ver diseño formal de Espacio 6 — Experimento 1. TP_R=2.5 es la especificación histórica de FRAMEWORK.md, NO la Gestión vigente del motor)",100,97,8.35,0.97,False,1.015,35.1,0.009,1.669,-0.887,0.84,-7.85,8.1,0,50,18,29,1.272,-5.22,0.132,8.2,98,-0.257,-2.63,-0.123,-0.1,-1
