asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,TP_fijo_2.5R,"Espacio 6 — TP fijo 2.5R (Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato, ver diseño formal de Espacio 6 — Experimento 1. TP_R=2.5 es la especificación histórica de FRAMEWORK.md, NO la Gestión vigente del motor)",0.878,1.241,False,False,False,
ETHUSDT,TP_fijo_2.5R,"Espacio 6 — TP fijo 2.5R (Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato, ver diseño formal de Espacio 6 — Experimento 1. TP_R=2.5 es la especificación histórica de FRAMEWORK.md, NO la Gestión vigente del motor)",1.108,0.86,False,False,False,
SOLUSDT,TP_fijo_2.5R,"Espacio 6 — TP fijo 2.5R (Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato, ver diseño formal de Espacio 6 — Experimento 1. TP_R=2.5 es la especificación histórica de FRAMEWORK.md, NO la Gestión vigente del motor)",1.174,1.015,False,False,False,
