asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,C_bos_only + C_market_close,"Trigger C — BOS-only (Bias=A/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: A_sweep_bos bajo el mismo contrato, ver diseño formal de Trigger C — T1_ema_cross y D_range_breakout son contexto únicamente, no comparador válido)",0.893,1.408,False,False,False,
ETHUSDT,C_bos_only + C_market_close,"Trigger C — BOS-only (Bias=A/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: A_sweep_bos bajo el mismo contrato, ver diseño formal de Trigger C — T1_ema_cross y D_range_breakout son contexto únicamente, no comparador válido)",1.138,0.99,False,False,False,
SOLUSDT,C_bos_only + C_market_close,"Trigger C — BOS-only (Bias=A/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: A_sweep_bos bajo el mismo contrato, ver diseño formal de Trigger C — T1_ema_cross y D_range_breakout son contexto únicamente, no comparador válido)",1.125,0.944,False,False,False,
