asset,year,role,session,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,triggered_by,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2023,candidate,control_8h,10 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",62,61,5.39,0.984,False,,0.782,27.9,-0.122,1.574,-0.778,-7.46,-4.39,5.3,0,48,13
BTCUSDT,2023,candidate,control_8h,20 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",62,61,5.39,0.984,False,,0.713,24.6,-0.169,1.702,-0.779,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,candidate,control_8h,30 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",62,61,5.39,0.984,False,,0.67,23.0,-0.213,1.886,-0.839,-13.01,-6.78,5.3,0,59,2
BTCUSDT,2023,candidate,control_8h,5 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",62,61,5.39,0.984,False,lower_contingency,0.897,36.1,-0.043,1.031,-0.649,-2.61,-2.27,5.3,0,26,35
BTCUSDT,2023,candidate,dcv1_activo_15h,10 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",110,109,9.39,0.991,False,,1.059,32.1,0.03,1.69,-0.755,3.28,-6.78,9.3,0,78,31
BTCUSDT,2023,candidate,dcv1_activo_15h,20 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",110,108,9.37,0.982,False,,1.021,29.6,0.012,1.935,-0.798,1.28,-6.88,9.2,0,93,15
BTCUSDT,2023,candidate,dcv1_activo_15h,30 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",110,107,9.36,0.973,False,,1.017,29.0,0.01,2.081,-0.835,1.08,-7.37,9.1,0,100,7
BTCUSDT,2023,candidate,dcv1_activo_15h,5 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",110,109,9.39,0.991,False,lower_contingency,1.054,36.7,0.023,1.205,-0.663,2.47,-5.33,9.3,0,49,60
ETHUSDT,2023,candidate,control_8h,10 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",69,67,5.77,0.971,False,,0.885,31.3,-0.057,1.408,-0.726,-3.85,-8.14,5.6,0,52,15
ETHUSDT,2023,candidate,control_8h,20 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",69,67,5.77,0.971,False,,0.952,29.9,-0.025,1.636,-0.731,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,candidate,control_8h,30 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",69,65,5.73,0.942,False,,1.175,30.8,0.092,1.996,-0.755,5.96,-5.59,5.4,0,58,7
ETHUSDT,2023,candidate,control_8h,40 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",69,65,5.73,0.942,False,upper_contingency,1.287,30.8,0.148,2.161,-0.746,9.64,-5.37,5.4,0,62,3
ETHUSDT,2023,candidate,dcv1_activo_15h,10 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",118,115,9.85,0.975,False,,0.808,29.6,-0.095,1.352,-0.702,-10.95,-12.57,9.6,0,83,32
ETHUSDT,2023,candidate,dcv1_activo_15h,20 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",118,113,9.82,0.958,False,,0.782,26.5,-0.119,1.606,-0.743,-13.44,-12.44,9.4,0,95,18
ETHUSDT,2023,candidate,dcv1_activo_15h,30 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",118,111,9.89,0.941,False,,0.932,27.0,-0.039,1.976,-0.785,-4.33,-10.24,9.3,0,102,9
ETHUSDT,2023,candidate,dcv1_activo_15h,40 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",118,111,9.89,0.941,False,upper_contingency,0.995,27.0,-0.003,2.087,-0.777,-0.3,-9.65,9.3,0,106,5
SOLUSDT,2023,candidate,control_8h,10 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",56,56,4.7,1.0,False,,1.256,33.9,0.121,1.745,-0.714,6.75,-5.16,4.7,0,39,17
SOLUSDT,2023,candidate,control_8h,20 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",56,56,4.7,1.0,False,,1.138,28.6,0.072,2.088,-0.734,4.04,-6.3,4.7,0,46,10
SOLUSDT,2023,candidate,control_8h,30 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",56,55,4.79,0.982,False,,1.084,25.5,0.048,2.408,-0.758,2.62,-6.79,4.7,0,53,2
SOLUSDT,2023,candidate,control_8h,5 | control_8h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",56,56,4.7,1.0,False,lower_contingency,0.853,42.9,-0.057,0.778,-0.684,-3.21,-4.25,4.7,0,25,31
SOLUSDT,2023,candidate,dcv1_activo_15h,10 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",100,99,8.38,0.99,False,,1.364,35.4,0.157,1.66,-0.665,15.5,-5.19,8.3,0,63,36
SOLUSDT,2023,candidate,dcv1_activo_15h,20 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",100,98,8.37,0.98,False,,1.272,31.6,0.132,1.958,-0.713,12.96,-5.22,8.2,0,77,21
SOLUSDT,2023,candidate,dcv1_activo_15h,30 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",100,97,8.35,0.97,False,,1.17,27.8,0.091,2.26,-0.745,8.85,-5.77,8.1,0,93,4
SOLUSDT,2023,candidate,dcv1_activo_15h,5 | dcv1_activo_15h,"Espacio 2 — max_hold (be=1.0R/activation=2.0R/distance=1.0R, atr_mult=1.5/atr_period=14 fijos; max_hold & sesión variable)",100,99,8.38,0.99,False,lower_contingency,1.047,39.4,0.018,1.031,-0.64,1.79,-4.72,8.3,0,45,54
