asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,V3A_mas_TP_2.5R,"Espacio 6 — Experimento 4: V3-A + TP 2.5R (breakeven ON be=1.0R, trailing ON activation=2.0R/distance=1.0R — idénticos a V3-A —, más TP fijo en 2.5R; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparadores: V3-A, E1 (TP fijo 2.5R sin BE/trailing), Raw (sin BE/trailing/TP). simulate_v3_tp es una función NUEVA, estructuralmente paralela a backtest.simulate_v3 (sin modificarlo), que agrega únicamente el chequeo de TP)",0.692,0.969,False,False,False,
ETHUSDT,V3A_mas_TP_2.5R,"Espacio 6 — Experimento 4: V3-A + TP 2.5R (breakeven ON be=1.0R, trailing ON activation=2.0R/distance=1.0R — idénticos a V3-A —, más TP fijo en 2.5R; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparadores: V3-A, E1 (TP fijo 2.5R sin BE/trailing), Raw (sin BE/trailing/TP). simulate_v3_tp es una función NUEVA, estructuralmente paralela a backtest.simulate_v3 (sin modificarlo), que agrega únicamente el chequeo de TP)",0.985,0.768,False,False,False,
SOLUSDT,V3A_mas_TP_2.5R,"Espacio 6 — Experimento 4: V3-A + TP 2.5R (breakeven ON be=1.0R, trailing ON activation=2.0R/distance=1.0R — idénticos a V3-A —, más TP fijo en 2.5R; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparadores: V3-A, E1 (TP fijo 2.5R sin BE/trailing), Raw (sin BE/trailing/TP). simulate_v3_tp es una función NUEVA, estructuralmente paralela a backtest.simulate_v3 (sin modificarlo), que agrega únicamente el chequeo de TP)",1.037,1.017,False,False,False,
