asset,year,bias,trigger,entry,mechanism,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout,mean_mfe_r_winners,gap_avg_win_mfe,pf_v3a,max_dd_v3a,exp_r_v3a,freq_v3a,n_trades_v3a,delta_pf,delta_max_dd,delta_exp_r,delta_freq,delta_n_trades
BTCUSDT,2022,A,T1_ema_cross,C_market_close,BE_solo_1.0R,BE_solo_1.0R,"Espacio 6 — Experimento 2: BE_solo_1.0R (V3-A sin trailing, be=1.0R intacto, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato. Implementado reutilizando backtest.simulate_v3 sin modificar, con activation=inf/distance=0.0 estructuralmente inalcanzable — no un parámetro experimental)",119,115,9.93,0.966,False,0.67,20.9,-0.186,1.808,-0.712,-21.38,-11.2,9.6,0,85,30,2.8533,1.0453,0.681,-12.27,-0.177,9.6,115,-0.011,1.07,-0.009,0.0,0
ETHUSDT,2022,A,T1_ema_cross,C_market_close,BE_solo_1.0R,BE_solo_1.0R,"Espacio 6 — Experimento 2: BE_solo_1.0R (V3-A sin trailing, be=1.0R intacto, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato. Implementado reutilizando backtest.simulate_v3 sin modificar, con activation=inf/distance=0.0 estructuralmente inalcanzable — no un parámetro experimental)",113,107,9.5,0.947,False,0.922,29.0,-0.039,1.603,-0.709,-4.2,-7.12,9.0,0,72,35,2.4486,0.8456,1.033,-6.74,0.016,9.0,107,-0.111,-0.38,-0.055,0.0,0
SOLUSDT,2022,A,T1_ema_cross,C_market_close,BE_solo_1.0R,BE_solo_1.0R,"Espacio 6 — Experimento 2: BE_solo_1.0R (V3-A sin trailing, be=1.0R intacto, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato. Implementado reutilizando backtest.simulate_v3 sin modificar, con activation=inf/distance=0.0 estructuralmente inalcanzable — no un parámetro experimental)",107,103,8.93,0.963,False,1.143,27.2,0.068,2.012,-0.657,7.04,-4.56,8.6,0,68,35,3.0571,1.0451,1.003,-5.44,0.001,8.6,103,0.14,0.88,0.067,0.0,0
BTCUSDT,2023,A,T1_ema_cross,C_market_close,BE_solo_1.0R,BE_solo_1.0R,"Espacio 6 — Experimento 2: BE_solo_1.0R (V3-A sin trailing, be=1.0R intacto, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato. Implementado reutilizando backtest.simulate_v3 sin modificar, con activation=inf/distance=0.0 estructuralmente inalcanzable — no un parámetro experimental)",110,108,9.37,0.982,False,0.666,18.5,-0.193,2.072,-0.707,-20.81,-13.02,9.2,0,78,30,3.6635,1.5915,1.021,-6.88,0.012,9.2,108,-0.355,-6.14,-0.205,0.0,0
ETHUSDT,2023,A,T1_ema_cross,C_market_close,BE_solo_1.0R,BE_solo_1.0R,"Espacio 6 — Experimento 2: BE_solo_1.0R (V3-A sin trailing, be=1.0R intacto, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato. Implementado reutilizando backtest.simulate_v3 sin modificar, con activation=inf/distance=0.0 estructuralmente inalcanzable — no un parámetro experimental)",118,113,9.82,0.958,False,0.735,16.8,-0.148,2.437,-0.67,-16.68,-13.28,9.4,0,83,30,3.6204,1.1834,0.782,-12.44,-0.119,9.4,113,-0.047,-0.84,-0.029,0.0,0
SOLUSDT,2023,A,T1_ema_cross,C_market_close,BE_solo_1.0R,BE_solo_1.0R,"Espacio 6 — Experimento 2: BE_solo_1.0R (V3-A sin trailing, be=1.0R intacto, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato. Implementado reutilizando backtest.simulate_v3 sin modificar, con activation=inf/distance=0.0 estructuralmente inalcanzable — no un parámetro experimental)",100,98,8.37,0.98,True,1.549,27.6,0.269,2.757,-0.677,26.36,-7.91,8.2,0,62,36,4.6878,1.9308,1.272,-5.22,0.132,8.2,98,0.277,-2.69,0.137,0.0,0
