asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,Raw,"Espacio 6 — Experimento 3: Raw (SL inicial fijo, sin breakeven, sin trailing, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador primario: V3-A; comparador secundario (comparación causal principal): E1 (TP fijo 2.5R). Implementado reutilizando backtest.simulate_v3 sin modificar, con be=inf/activation=inf/distance=0.0 estructuralmente inalcanzables — no son parámetros experimentales)",0.846,0.844,False,False,False,
ETHUSDT,Raw,"Espacio 6 — Experimento 3: Raw (SL inicial fijo, sin breakeven, sin trailing, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador primario: V3-A; comparador secundario (comparación causal principal): E1 (TP fijo 2.5R). Implementado reutilizando backtest.simulate_v3 sin modificar, con be=inf/activation=inf/distance=0.0 estructuralmente inalcanzables — no son parámetros experimentales)",1.019,0.781,False,False,False,
SOLUSDT,Raw,"Espacio 6 — Experimento 3: Raw (SL inicial fijo, sin breakeven, sin trailing, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador primario: V3-A; comparador secundario (comparación causal principal): E1 (TP fijo 2.5R). Implementado reutilizando backtest.simulate_v3 sin modificar, con be=inf/activation=inf/distance=0.0 estructuralmente inalcanzables — no son parámetros experimentales)",1.255,1.565,False,True,False,
