asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
BTCUSDT,BE_solo_1.0R,"Espacio 6 — Experimento 2: BE_solo_1.0R (V3-A sin trailing, be=1.0R intacto, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato. Implementado reutilizando backtest.simulate_v3 sin modificar, con activation=inf/distance=0.0 estructuralmente inalcanzable — no un parámetro experimental)",0.67,0.666,False,False,False,
ETHUSDT,BE_solo_1.0R,"Espacio 6 — Experimento 2: BE_solo_1.0R (V3-A sin trailing, be=1.0R intacto, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato. Implementado reutilizando backtest.simulate_v3 sin modificar, con activation=inf/distance=0.0 estructuralmente inalcanzable — no un parámetro experimental)",0.922,0.735,False,False,False,
SOLUSDT,BE_solo_1.0R,"Espacio 6 — Experimento 2: BE_solo_1.0R (V3-A sin trailing, be=1.0R intacto, sin TP; Bias=A/Trigger=T1_ema_cross/Entry=C_market_close/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: V3-A bajo el mismo contrato. Implementado reutilizando backtest.simulate_v3 sin modificar, con activation=inf/distance=0.0 estructuralmente inalcanzable — no un parámetro experimental)",1.143,1.549,False,True,False,
