asset,year,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
ETHUSDT,2023,1.5,V3-B (0.75R/1.5R/0.75R),69,67,5.77,0.971,False,0.908,32.8,-0.041,1.219,-0.657,-2.73,-6.23,5.6,0,61,6
ETHUSDT,2023,2.0,V3-A (1R/2R/1R),69,67,5.77,0.971,False,1.053,29.9,0.025,1.658,-0.67,1.65,-7.29,5.6,0,50,17
ETHUSDT,2023,2.0,V3-B (0.75R/1.5R/0.75R),69,67,5.77,0.971,False,0.971,32.8,-0.012,1.236,-0.622,-0.81,-5.64,5.6,0,55,12
ETHUSDT,2023,3.0,V3-A (1R/2R/1R),69,66,5.75,0.957,False,0.756,30.3,-0.105,1.069,-0.615,-6.92,-6.62,5.5,0,35,31
ETHUSDT,2023,3.0,V3-B (0.75R/1.5R/0.75R),69,66,5.75,0.957,False,0.896,30.3,-0.039,1.119,-0.543,-2.61,-6.28,5.5,0,42,24
SOLUSDT,2023,1.0,V3-A (1R/2R/1R),56,56,4.7,1.0,False,1.457,26.8,0.245,2.92,-0.733,13.73,-4.65,4.7,0,55,1
SOLUSDT,2023,1.0,V3-B (0.75R/1.5R/0.75R),56,56,4.7,1.0,False,0.867,26.8,-0.069,1.685,-0.711,-3.89,-5.0,4.7,0,55,1
SOLUSDT,2023,1.5,V3-A (1R/2R/1R),56,56,4.7,1.0,False,1.138,28.6,0.072,2.088,-0.734,4.04,-6.3,4.7,0,46,10
SOLUSDT,2023,1.5,V3-B (0.75R/1.5R/0.75R),56,56,4.7,1.0,False,1.312,30.4,0.146,2.025,-0.673,8.18,-3.92,4.7,0,53,3
SOLUSDT,2023,2.0,V3-A (1R/2R/1R),56,55,4.79,0.982,False,1.283,32.7,0.116,1.614,-0.612,6.4,-3.12,4.7,0,38,17
SOLUSDT,2023,2.0,V3-B (0.75R/1.5R/0.75R),56,55,4.79,0.982,False,1.238,30.9,0.096,1.615,-0.584,5.28,-3.2,4.7,0,41,14
SOLUSDT,2023,3.0,V3-A (1R/2R/1R),56,54,4.77,0.964,False,1.567,37.0,0.187,1.396,-0.524,10.1,-2.67,4.6,0,20,34
SOLUSDT,2023,3.0,V3-B (0.75R/1.5R/0.75R),56,54,4.77,0.964,False,1.071,33.3,0.022,1.01,-0.471,1.21,-2.84,4.6,0,30,24
