asset,year,trigger,entry,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,C_bos_only,C_market_close,C_bos_only + C_market_close,"Trigger C — BOS-only (Bias=A/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: A_sweep_bos bajo el mismo contrato, ver diseño formal de Trigger C — T1_ema_cross y D_range_breakout son contexto únicamente, no comparador válido)",1228,307,101.6,0.25,False,0.893,27.4,-0.056,1.697,-0.716,-17.06,-13.41,25.4,0,255,52
ETHUSDT,2022,C_bos_only,C_market_close,C_bos_only + C_market_close,"Trigger C — BOS-only (Bias=A/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: A_sweep_bos bajo el mismo contrato, ver diseño formal de Trigger C — T1_ema_cross y D_range_breakout son contexto únicamente, no comparador válido)",1215,297,100.64,0.244,False,1.138,30.3,0.067,1.824,-0.696,19.95,-7.86,24.6,0,251,46
SOLUSDT,2022,C_bos_only,C_market_close,C_bos_only + C_market_close,"Trigger C — BOS-only (Bias=A/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: A_sweep_bos bajo el mismo contrato, ver diseño formal de Trigger C — T1_ema_cross y D_range_breakout son contexto únicamente, no comparador válido)",1219,284,101.73,0.233,False,1.125,33.5,0.055,1.485,-0.663,15.69,-8.58,23.7,0,235,49
BTCUSDT,2023,C_bos_only,C_market_close,C_bos_only + C_market_close,"Trigger C — BOS-only (Bias=A/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: A_sweep_bos bajo el mismo contrato, ver diseño formal de Trigger C — T1_ema_cross y D_range_breakout son contexto únicamente, no comparador válido)",1105,276,91.28,0.25,False,1.408,30.1,0.213,2.442,-0.746,58.73,-4.76,22.8,0,246,30
ETHUSDT,2023,C_bos_only,C_market_close,C_bos_only + C_market_close,"Trigger C — BOS-only (Bias=A/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: A_sweep_bos bajo el mismo contrato, ver diseño formal de Trigger C — T1_ema_cross y D_range_breakout son contexto únicamente, no comparador válido)",1067,278,89.04,0.261,False,0.99,27.0,-0.005,2.051,-0.765,-1.5,-11.57,23.2,0,246,32
SOLUSDT,2023,C_bos_only,C_market_close,C_bos_only + C_market_close,"Trigger C — BOS-only (Bias=A/Entry=C_market_close/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; comparador principal: A_sweep_bos bajo el mismo contrato, ver diseño formal de Trigger C — T1_ema_cross y D_range_breakout son contexto únicamente, no comparador válido)",1181,289,98.08,0.245,False,0.944,26.6,-0.028,1.755,-0.675,-8.02,-12.94,24.0,0,248,41
