asset,year,role,session,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
ETHUSDT,2022,candidate,control_8h,0.25 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",49,48,4.08,0.98,False,1.059,14.6,0.013,1.62,-0.261,0.64,-1.64,4.0,0,45,3
ETHUSDT,2022,candidate,control_8h,0.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",49,48,4.08,0.98,False,0.888,20.8,-0.046,1.735,-0.514,-2.19,-2.44,4.0,0,45,3
ETHUSDT,2022,candidate,control_8h,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",49,48,4.08,0.98,False,0.971,33.3,-0.014,1.397,-0.719,-0.67,-1.95,4.0,0,38,10
ETHUSDT,2022,candidate,control_8h,1.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",49,48,4.08,0.98,False,1.207,43.8,0.107,1.42,-0.915,5.12,-1.68,4.0,0,35,13
ETHUSDT,2022,candidate,control_8h,2.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",49,48,4.08,0.98,False,1.256,45.8,0.137,1.463,-0.985,6.57,-1.68,4.0,0,35,13
ETHUSDT,2022,candidate,dcv1_activo_15h,0.25 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",113,108,9.52,0.956,False,0.982,13.0,-0.005,1.993,-0.302,-0.52,-6.55,9.1,0,104,4
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",113,107,9.5,0.947,False,1.063,22.4,0.025,1.868,-0.508,2.66,-5.98,9.0,0,96,11
ETHUSDT,2022,candidate,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",113,107,9.5,0.947,False,1.033,34.6,0.016,1.488,-0.762,1.75,-6.74,9.0,0,83,24
ETHUSDT,2022,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",113,107,9.5,0.947,False,1.142,41.1,0.074,1.45,-0.887,7.92,-3.96,9.0,0,78,29
ETHUSDT,2022,candidate,dcv1_activo_15h,2.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",113,107,9.5,0.947,False,1.234,45.8,0.126,1.451,-0.993,13.5,-3.46,9.0,0,76,31
SOLUSDT,2022,candidate,control_8h,0.25 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",63,61,5.37,0.968,False,1.339,16.4,0.067,1.617,-0.237,4.09,-2.95,5.2,0,60,1
SOLUSDT,2022,candidate,control_8h,0.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",63,61,5.37,0.968,False,1.471,23.0,0.138,1.881,-0.381,8.44,-2.15,5.2,0,59,2
SOLUSDT,2022,candidate,control_8h,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",63,61,5.37,0.968,False,1.152,32.8,0.071,1.649,-0.698,4.35,-4.6,5.2,0,56,5
SOLUSDT,2022,candidate,control_8h,1.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",63,61,5.37,0.968,False,1.162,42.6,0.083,1.392,-0.89,5.05,-3.97,5.2,0,49,12
SOLUSDT,2022,candidate,control_8h,2.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",63,61,5.37,0.968,False,1.092,42.6,0.05,1.392,-0.947,3.06,-4.92,5.2,0,48,13
SOLUSDT,2022,candidate,dcv1_activo_15h,0.25 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",107,105,8.97,0.981,False,1.174,14.3,0.036,1.683,-0.239,3.75,-2.13,8.8,0,103,2
SOLUSDT,2022,candidate,dcv1_activo_15h,0.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",107,105,8.97,0.981,False,1.216,20.0,0.067,1.874,-0.385,7.0,-3.48,8.8,0,100,5
SOLUSDT,2022,candidate,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",107,103,8.93,0.963,False,1.003,31.1,0.001,1.539,-0.691,0.15,-5.44,8.6,0,87,16
SOLUSDT,2022,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",107,103,8.93,0.963,False,1.08,38.8,0.041,1.419,-0.834,4.21,-4.86,8.6,0,79,24
SOLUSDT,2022,candidate,dcv1_activo_15h,2.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",107,103,8.93,0.963,False,1.074,39.8,0.04,1.452,-0.894,4.09,-4.71,8.6,0,77,26
BTCUSDT,2023,candidate,control_8h,0.25 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",62,62,5.3,1.0,False,0.778,11.3,-0.07,2.158,-0.353,-4.32,-3.69,5.3,0,61,1
BTCUSDT,2023,candidate,control_8h,0.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",62,61,5.39,0.984,False,0.644,18.0,-0.167,1.679,-0.574,-10.22,-5.83,5.3,0,57,4
BTCUSDT,2023,candidate,control_8h,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",62,61,5.39,0.984,False,0.713,24.6,-0.169,1.702,-0.779,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,candidate,control_8h,1.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",62,61,5.39,0.984,False,0.892,31.1,-0.066,1.754,-0.89,-4.05,-3.16,5.3,0,48,13
BTCUSDT,2023,candidate,control_8h,2.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",62,61,5.39,0.984,False,0.921,34.4,-0.051,1.719,-0.98,-3.1,-3.62,5.3,0,46,15
BTCUSDT,2023,candidate,dcv1_activo_15h,0.25 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",110,110,9.4,1.0,False,1.226,15.5,0.065,2.302,-0.343,7.2,-6.37,9.4,0,108,2
BTCUSDT,2023,candidate,dcv1_activo_15h,0.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",110,109,9.39,0.991,False,1.087,22.0,0.036,2.056,-0.534,3.97,-6.38,9.3,0,103,6
BTCUSDT,2023,candidate,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",110,108,9.37,0.982,False,1.021,29.6,0.012,1.935,-0.798,1.28,-6.88,9.2,0,93,15
BTCUSDT,2023,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",110,108,9.37,0.982,False,1.156,34.3,0.09,1.944,-0.876,9.71,-5.1,9.2,0,86,22
BTCUSDT,2023,candidate,dcv1_activo_15h,2.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",110,108,9.37,0.982,False,1.226,38.9,0.134,1.86,-0.965,14.42,-4.85,9.2,0,83,25
ETHUSDT,2023,candidate,control_8h,0.25 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",69,67,5.77,0.971,False,1.206,16.4,0.05,1.78,-0.29,3.35,-4.32,5.6,0,65,2
ETHUSDT,2023,candidate,control_8h,0.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",69,67,5.77,0.971,False,1.071,22.4,0.024,1.634,-0.44,1.63,-5.51,5.6,0,63,4
